Date,Time,PA_of_Inning,Pitch_of_PA,Pitcher,Pitcher_ID,Pitcher_Handedness,Pitcher_Team,Batter,Batter_ID,Batter_Handedness,Batter_Team,Pitch_Set,Top/Bottom,Pitch_Type,Pitch_Call,Pitch_Speed,Pitch_Launch_V,Pitch_Launch_H,Pitch_Spin,Pitch_Spin_Axis,Pitch_Spin_Tilt,Pitch_Release_Height,Pitch_Release_Side,Pitch_Extension,Pitch_Break_V,Pitch_Break_Ind_V,Pitch_Break_H,Pitch_Strike_Zone_Height,Pitch_Strike_Zone_Offset,Pitch_Zone_Speed,Pitch_Approach_V,Pitch_Approach_H,Pitch_Time,Hit_Ball_Speed,Hit_Ball_Launch_V,Hit_Ball_Launch_H,Hit_Carry_Distance,Hit_Ball_Flight_Time,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,Home_Team,Away_Team,GUID,px,pz,hit,gameID
2019-03-23,15:45:30,0,0,Mitch Holcomb,{6A520CBC-2F65-400A-81AF-BD1F59F87EF3},R,Penn,Ben Skinner,{0AFF813F-1EC1-4149-923C-E3F19B222703},R,Harvard,,Top,Four Seam Fastball,,87.76899999999999,-4.433,-2.6039999999999996,2074.0,240.19400000000002,2:0,7.44,1.644,4.407,-25.513,13.369000000000002,23.338,1.071,1.103,79.78399999999999,-8.949,1.7069999999999999,0.449,,,,,,-19.585,13.524000000000001,-1.481,50.0,6.691,6.726,-126.531,-11.175999999999998,-31.439,28.180999999999997,-10.475,Penn,Harvard,{1632BAA3-1713-4A3E-BABE-C4B26C5E8DD4},-1.317,1.353,0,0
2019-03-23,15:45:51,0,0,Mitch Holcomb,{6A520CBC-2F65-400A-81AF-BD1F59F87EF3},R,Penn,Ben Skinner,{0AFF813F-1EC1-4149-923C-E3F19B222703},R,Harvard,,Top,Four Seam Fastball,,91.381,-3.466,-0.7040000000000001,2075.0,171.43599999999998,11:45:00,7.268,0.822,2.348,-5.896,32.375,-4.875,3.34,-0.282,82.863,-4.611000000000001,-1.551,0.445,,,,,,1.496,3.943,-0.585,50.0,6.974,0.893,-132.355,-7.47,2.648,28.714000000000002,-25.203000000000003,Penn,Harvard,{6584BDCA-F5C7-456E-A7D2-6D4BEDD63BC6},-0.049,2.265,0,0
2019-03-23,15:46:10,0,0,Mitch Holcomb,{6A520CBC-2F65-400A-81AF-BD1F59F87EF3},R,Penn,Ben Skinner,{0AFF813F-1EC1-4149-923C-E3F19B222703},R,Harvard,,Top,Changeup,,81.876,-0.406,-3.0389999999999997,2017.0,286.868,03:30:00,6.347,1.842,4.348,-52.493,-7.106,23.436,1.584,0.89,73.415,-9.847999999999999,1.306,0.485,,,,,,-21.410999999999998,5.2139999999999995,-1.718,50.0,6.426,7.849,-117.726,-5.275,-29.564,25.706,-24.985,Penn,Harvard,{B016F82E-D35A-4457-814D-3D273B9A8581},-1.091,1.796,0,0
2019-03-23,15:46:35,0,0,Mitch Holcomb,{6A520CBC-2F65-400A-81AF-BD1F59F87EF3},R,Penn,Ben Skinner,{0AFF813F-1EC1-4149-923C-E3F19B222703},R,Harvard,,Top,Four Seam Fastball,,87.59899999999999,-6.069,-3.825,1991.0,230.02200000000002,01:45:00,7.796,1.415,4.671,-5.7139999999999995,33.731,40.23,1.522,1.129,78.743,-7.234,3.38,0.452,,,,,,-24.469,22.283,-1.178,50.0,7.127,7.706,-126.046,-14.145999999999999,-38.342,31.828000000000003,2.73,Penn,Harvard,{347FCE13-D684-41EC-92C9-504A171465A7},-1.211,1.605,0,0
2019-03-23,15:47:17,0,0,Mitch Holcomb,{6A520CBC-2F65-400A-81AF-BD1F59F87EF3},R,Penn,Quinn Hoffman,{85C9A466-5C0F-40EB-8070-4B6636A0EAD5},R,Harvard,,Top,Four Seam Fastball,,87.676,-4.83,-3.089,2183.0,213.792,01:15:00,7.71,1.582,4.607,-13.974,25.162,16.839000000000002,1.936,0.046,79.045,-7.374,-0.003,0.45,105.189,45.638000000000005,12.365,342.853,6.718,-19.291,21.78,-1.424,50.0,6.797,8.861,-126.87299999999999,-11.568,-30.276999999999997,34.911,1.999,Penn,Harvard,{DFDA09FE-410E-41CB-BFDF-F3A25A3AFB1F},-0.321,2.27,1,0
2019-03-23,15:49:53,0,0,Buddy Hayward,{F23F396A-732E-4C36-97DC-76F2B9DDDF85},R,Harvard,Tommy Courtney,{2535D655-DD59-4B12-84A1-4E22CFEC719B},L,Penn,,Bottom,Four Seam Fastball,,92.052,-0.326,-2.9589999999999996,2224.0,277.358,03:15:00,5.944,1.426,4.759,-38.654,-3.1439999999999997,24.346,2.414,0.647,82.62200000000001,-7.247000000000001,1.6340000000000001,0.429,,,,,,-22.509,2.997,-1.277,50.0,6.027,8.633,-132.611,-4.166,-39.162,34.429,-26.971,Penn,Harvard,{364079EE-FA42-4A2C-9BFB-2F461B78FD81},-0.86,2.415,0,0
2019-03-23,15:50:16,0,0,Buddy Hayward,{F23F396A-732E-4C36-97DC-76F2B9DDDF85},R,Harvard,Tommy Courtney,{2535D655-DD59-4B12-84A1-4E22CFEC719B},L,Penn,,Bottom,Four Seam Fastball,,91.803,-3.0469999999999997,-3.4339999999999997,2366.0,247.726,02:15:00,7.005,1.619,4.922,-27.85,7.603,18.561,1.795,-0.084,82.765,-8.05,0.07,0.428,,,,,,-18.266,7.707000000000001,-1.29,50.0,6.709,8.894,-132.001,-8.775,-31.474,34.231,-18.905,Penn,Harvard,{2FE1328D-65B5-493E-9D59-FD5A544FA638},-0.206,1.889,0,0
2019-03-23,15:50:42,0,0,Buddy Hayward,{F23F396A-732E-4C36-97DC-76F2B9DDDF85},R,Harvard,Tommy Courtney,{2535D655-DD59-4B12-84A1-4E22CFEC719B},L,Penn,,Bottom,Four Seam Fastball,,94.435,-3.653,-3.6310000000000002,,,,6.478,1.32,4.518,,,,,,,,,,,,,,,-21.668000000000003,5.591,-1.015,50.0,6.088,7.79,-136.062,-11.59,-40.205,32.69,-21.811999999999998,Penn,Harvard,{BD6CDDFA-66DA-45E3-9ADA-6B3B738D00AB},-0.912,0.23,0,0
2019-03-23,15:50:58,0,0,Buddy Hayward,{F23F396A-732E-4C36-97DC-76F2B9DDDF85},R,Harvard,Tommy Courtney,{2535D655-DD59-4B12-84A1-4E22CFEC719B},L,Penn,,Bottom,Changeup,,85.35799999999999,-1.04,-4.282,,,,5.684,1.404,5.053,,,,,,,,,,,,,,,-23.678,-4.829,-1.108,50.0,5.602,9.292,-122.383,-5.821000000000001,-35.532,26.529,-39.431999999999995,Penn,Harvard,{0026F573-4FCA-4AEE-932B-020488575516},-0.315,-0.225,0,0
2019-03-23,15:51:36,0,0,Buddy Hayward,{F23F396A-732E-4C36-97DC-76F2B9DDDF85},R,Harvard,Tommy Courtney,{2535D655-DD59-4B12-84A1-4E22CFEC719B},L,Penn,,Bottom,Four Seam Fastball,,92.473,-0.586,-4.415,2367.0,252.976,02:30:00,6.567,1.644,4.447,-28.461,7.061,23.063000000000002,3.635,-0.652,82.993,-5.6610000000000005,-0.145,0.429,,,,,,-17.479,4.997,-1.343,50.0,6.387,10.821,-132.681,-2.5610000000000004,-30.6,33.139,-23.438000000000002,Penn,Harvard,{B5E0F439-408B-4178-9D4F-0A756ECCD18B},0.556,3.668,0,0
2019-03-23,15:52:14,0,0,Buddy Hayward,{F23F396A-732E-4C36-97DC-76F2B9DDDF85},R,Harvard,Tommy Courtney,{2535D655-DD59-4B12-84A1-4E22CFEC719B},L,Penn,,Bottom,Four Seam Fastball,,91.429,-0.9690000000000001,-5.294,2377.0,261.33099999999996,02:45:00,6.434,1.658,4.774,-33.366,3.113,20.416,2.731,-1.673,81.565,-6.96,-1.45,0.435,,,,,,-23.915,2.8680000000000003,-1.224,50.0,6.336,14.347000000000001,-130.707,-3.9160000000000004,-40.391,33.635,-27.340999999999998,Penn,Harvard,{AE6CC3FA-4A67-4C4B-B6F0-500D67B5BF71},1.298,2.709,0,0
2019-03-23,15:52:38,0,0,Buddy Hayward,{F23F396A-732E-4C36-97DC-76F2B9DDDF85},R,Harvard,Tommy Courtney,{2535D655-DD59-4B12-84A1-4E22CFEC719B},L,Penn,,Bottom,Curveball,,79.042,-0.9740000000000001,-4.087,1456.0,282.26599999999996,03:30:00,6.689,1.937,4.385,-53.328,-3.989,18.349,1.312,-0.443,70.433,-10.523,-0.5,0.505,,,,,,-15.890999999999998,-4.246,-1.479,50.0,6.547,8.424,-113.22200000000001,-3.3689999999999998,-20.124000000000002,25.375999999999998,-37.562,Penn,Harvard,{BB2E8DE5-5995-4FFB-8835-AF79E78BE8CC},0.273,1.187,0,0
2019-03-23,15:53:14,0,0,Buddy Hayward,{F23F396A-732E-4C36-97DC-76F2B9DDDF85},R,Harvard,Tommy Courtney,{2535D655-DD59-4B12-84A1-4E22CFEC719B},L,Penn,,Bottom,Four Seam Fastball,,92.234,-4.079,-4.325,1113.0,226.771,01:30:00,6.681,1.311,4.798,-17.919,17.465999999999998,18.581,1.305,-1.245,83.085,-7.301,-0.892,0.428,,,,,,-22.285,14.860999999999999,-1.048,50.0,6.254,12.567,-132.80100000000002,-11.165999999999999,-38.889,34.485,-6.251,Penn,Harvard,{A1A0830A-2F45-4E1F-9381-DA731AB09107},0.908,1.49,0,0
2019-03-23,15:53:32,0,0,Buddy Hayward,{F23F396A-732E-4C36-97DC-76F2B9DDDF85},R,Harvard,Tommy Courtney,{2535D655-DD59-4B12-84A1-4E22CFEC719B},L,Penn,,Bottom,Curveball,,79.87100000000001,0.47200000000000003,-1.469,,259.931,02:45:00,6.701,1.334,4.478,-46.857,1.3330000000000002,7.507000000000001,3.246,0.559,70.695,-8.051,0.157,0.5,,,,,,-12.07,-5.723,-1.304,50.0,6.673,4.7219999999999995,-114.80799999999999,0.537,-15.609000000000002,27.401999999999997,-39.586,Penn,Harvard,{1169B683-62C2-4569-85A3-B5095B26DEA8},-0.753,2.957,0,0
2019-03-23,15:53:47,0,0,Buddy Hayward,{F23F396A-732E-4C36-97DC-76F2B9DDDF85},R,Harvard,Tommy Courtney,{2535D655-DD59-4B12-84A1-4E22CFEC719B},L,Penn,,Bottom,Four Seam Fastball,,93.15,-3.9339999999999997,-3.576,,228.488,01:30:00,6.29,1.156,4.696,-20.07,14.44,16.315,0.87,-0.884,84.34100000000001,-7.535,-0.537,0.423,,,,,,-22.268,14.534,-0.945,50.0,5.996,11.710999999999999,-134.071,-12.026,-40.041,32.258,-6.051,Penn,Harvard,{27AE6D42-C69C-4487-9F6B-3FCCF831D471},0.615,0.993,0,0
